序号,资料组,归档内路径,页数,提取字符数,文本可检索性,PDF标题,作者
1,独立论文/报告,顶层文件/CPE Report - Ternary Computing Testbed - RC6a.pdf,192,290224,可全文检索,Trinary_CPE Report - Jeff.tk,Jeff Connelly
2,独立论文/报告,顶层文件/TEmerging_24.pdf,14,61273,可全文检索,Efficient Ternary Logic Circuits Optimized by Ternary Arithmetic Algorithms,
3,独立论文/报告,顶层文件/post-print-a-ternary-weight-mapping-and-charge-mode-readout-scheme-for-energy-efficient.pdf,5,22071,可全文检索,A Ternary Weight Mapping and Charge-mode Readout Scheme for Energy Efficient FeRAM Crossbar Compute-in-Memory System,Tiancheng Cao
4,Setun程序设计资料,Setun文档包/Programming/01.pdf,46,50140,可全文检索,,
5,Setun程序设计资料,Setun文档包/Programming/02.pdf,74,38949,可全文检索,,
6,Setun程序设计资料,Setun文档包/Programming/03.pdf,25,11292,可全文检索,,
7,Setun程序设计资料,Setun文档包/Programming/04.pdf,34,21369,可全文检索,,
8,Setun程序设计资料,Setun文档包/Programming/05.pdf,29,11927,可全文检索,,
9,Setun程序设计资料,Setun文档包/Programming/06.pdf,72,41184,可全文检索,,
10,Setun程序设计资料,Setun文档包/Programming/07.pdf,89,30864,可全文检索,,
11,Setun程序设计资料,Setun文档包/Programming/08.pdf,30,17429,可全文检索,,
12,Setun程序设计资料,Setun文档包/Programming/09.pdf,46,25088,可全文检索,,
13,Setun程序设计资料,Setun文档包/Programming/10.pdf,77,65492,可全文检索,,
14,Setun程序设计资料,Setun文档包/Programming/11.pdf,29,10780,可全文检索,,
15,Setun程序设计资料,Setun文档包/Programming/13.pdf,104,39186,可全文检索,,
16,Setun程序设计资料,Setun文档包/Programming/14.pdf,29,14264,可全文检索,,
17,Setun程序设计资料,Setun文档包/Programming/15.pdf,29,19299,可全文检索,,
18,Setun程序设计资料,Setun文档包/Programming/16.pdf,56,10408,可全文检索,,
19,Setun程序设计资料,Setun文档包/Programming/17.pdf,56,23636,可全文检索,,
20,Setun程序设计资料,Setun文档包/Programming/18.pdf,48,27107,可全文检索,,
21,Setun程序设计资料,Setun文档包/Programming/19.pdf,51,36432,可全文检索,,
22,Setun程序设计资料,Setun文档包/Programming/21.pdf,54,16019,可全文检索,,
23,Setun程序设计资料,Setun文档包/Programming/23.pdf,26,11062,可全文检索,,
24,Setun程序设计资料,Setun文档包/Programming/24.pdf,189,124540,可全文检索,,
25,Setun程序设计资料,Setun文档包/Programming/25.pdf,40,24338,可全文检索,,
26,Setun程序设计资料,Setun文档包/Programming/26.pdf,50,28236,可全文检索,,
27,Setun程序设计资料,Setun文档包/Programming/27.pdf,87,26998,可全文检索,,
28,Setun程序设计资料,Setun文档包/Programming/28.pdf,42,16293,可全文检索,,
29,Setun程序设计资料,Setun文档包/Programming/29.pdf,24,10716,可全文检索,,
30,Setun程序设计资料,Setun文档包/Programming/30.pdf,63,21185,可全文检索,,
31,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Brusentsov-RamilAlvarez2011_Chapter_TernaryComputersTheSetunAndThe.pdf,7,19018,可全文检索,Title,Author
32,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Commands_small_ternary_digital_computer_Setun.pdf,15,32057,可全文检索,Система команд и интерпретирующая система для машины Сетунь'',Е. А. Жоголев
33,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Computer_Setun_of_Moscow_State_University.pdf,7,12,扫描件/需OCR,"Материалы научно-технической конференции ""новые разработки в области вычислительной математики и вычислительной техники"".","СССР.-  Украинская ССР, г. Киев: 1960."
34,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Computer_architecture_Setun_1971.pdf,10,18,扫描件/需OCR,Вычислительная техника и вопросы кибернетики. Выпуск 8,СССР.- Изд. Ленинградского университета  : 1971.
35,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Computer_programs_Setun.pdf,74,121379,可全文检索,<C1F0F3F1E5EDF6EEE22DCCEEF0EEE7EEE22D312E717864>,igor
36,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Hard_and_Soft_Setun_Minsk_1971.pdf,57,112,少量文本/以图为主,"Вопросы технического и математического обеспечения ЭЦВМ ""Сетунь"" и ""Минск-22"". Выпуск 1.",СССР.- Бушанбе : 1971. - 187 с
37,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Magnetic_digital_elemets_1964.pdf,19,36,扫描件/需OCR,"Магнитные элементы автоматики, телемеханики, измерительной и вычислительной техники.","СССР.- Украинская ССР, г. Киев : 1964."
38,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/N_ P_ Brusentsov.pdf,19,44052,可全文检索,NPBrusentsov_Malinovski,Yura Revich
39,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/N_P_Brusencov_02.pdf,27,63307,可全文检索,<C1F0F3F1E5EDF6EEE22D322E717864>,igor
40,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/N_P_Brusencov_05.pdf,5,10671,可全文检索,<C1F0F3F1E5EDF6EEE22D352E717864>,igor
41,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Notes_about_ternal_digital_technology.pdf,9,24173,可全文检索,ЗАМЕТКИ О ТРОИЧНОЙ ЦИФРОВОЙ ТЕХНИКЕ - ЧАСТЬ 2,User
42,Setun/Setun-70历史与技术资料,Setun文档包/Setun-1958/Programming_Setun_1978.pdf,18,34,扫描件/需OCR,Вычислительная техника и вопросы кибернетики. Выпуск 15.,СССР.- Изд. Московского университета  : 1978.
